method: main.MainUI.createScriptInfoCom:251780582
$r2(-1669715643) -> $r2(1091489913) 
$r3(-1669715643) -> $r3(1091489913) 
$r4(-1669715643) -> $r4(1091489913) 
$r5(-1669715643) -> $r5(1091489913) 
$r6(-1669715643) -> $r6(1091489913) 
$r7(-1669715643) -> $r7(1091489913) 
0(1091489913) -> 0(-1091489913) 
this(1091489913) -> this(-1091489913) 
parent(1091489913) -> parent(-1091489913) 
itemtname(1091489913) -> itemtname(-1091489913) 
l6(1091489913) -> l6(-1091489913) 
com(1091489913) -> com(-1091489913) 
script(1091489913) -> script(-1091489913) 
scriptname(1091489913) -> scriptname(-1091489913) 
scrDisplayCom(1091489913) -> scrDisplayCom(-1091489913) 
$r0(1091489913) -> $r0(-1091489913) 
$r1(1091489913) -> $r1(-1091489913) 
$r2(1091489913) -> $r2(-1091489913) 
$r4(1091489913) -> $r4(-1091489913) 
$r5(1091489913) -> $r5(-1091489913) 
$r6(1091489913) -> $r6(-1091489913) 
$r7(1091489913) -> $r7(-1091489913) 
0(-1091489913) -> 0(2011326641) 
this(-1091489913) -> this(2011326641) 
parent(-1091489913) -> parent(2011326641) 
itemtname(-1091489913) -> itemtname(2011326641) 
l6(-1091489913) -> l6(2011326641) 
com(-1091489913) -> com(2011326641) 
script(-1091489913) -> script(2011326641) 
scriptname(-1091489913) -> scriptname(2011326641) 
scrDisplayCom(-1091489913) -> scrDisplayCom(2011326641) 
$r0(-1091489913) -> $r0(2011326641) 
$r1(-1091489913) -> $r1(2011326641) 
$r2(-1091489913) -> $r2(2011326641) 
$r3(-1091489913) -> $r3(2011326641) 
$r4(-1091489913) -> $r4(2011326641) 
$r5(-1091489913) -> $r5(2011326641) 
$r6(-1091489913) -> $r6(2011326641) 
$r7(-1091489913) -> $r7(2011326641) 
0(2011326641) -> 0(826767860) 
this(2011326641) -> this(826767860) 
parent(2011326641) -> parent(826767860) 
itemtname(2011326641) -> itemtname(826767860) 
l6(2011326641) -> l6(826767860) 
com(2011326641) -> com(826767860) 
scriptname(2011326641) -> scriptname(826767860) 
scrDisplayCom(2011326641) -> scrDisplayCom(826767860) 
$r0(2011326641) -> $r0(826767860) 
$r1(2011326641) -> $r1(826767860) 
$r2(2011326641) -> $r2(826767860) 
$r3(2011326641) -> script(826767860) 
$r3(2011326641) -> $r3(826767860) 
$r4(2011326641) -> $r4(826767860) 
$r5(2011326641) -> $r5(826767860) 
$r6(2011326641) -> $r6(826767860) 
$r7(2011326641) -> $r7(826767860) 
0(826767860) -> 0(1443478368) 
this(826767860) -> this(1443478368) 
parent(826767860) -> parent(1443478368) 
itemtname(826767860) -> itemtname(1443478368) 
l6(826767860) -> l6(1443478368) 
com(826767860) -> com(1443478368) 
script(826767860) -> script(1443478368) 
scriptname(826767860) -> scriptname(1443478368) 
scrDisplayCom(826767860) -> scrDisplayCom(1443478368) 
$r0(826767860) -> $r0(1443478368) 
$r1(826767860) -> $r1(1443478368) 
$r2(826767860) -> $r2(1443478368) 
$r3(826767860) -> $r3(1443478368) 
$r4(826767860) -> $r4(1443478368) 
$r5(826767860) -> $r5(1443478368) 
$r6(826767860) -> $r6(1443478368) 
$r7(826767860) -> $r7(1443478368) 
0(1268226930) -> 0(506372615) 
this(1268226930) -> this(506372615) 
parent(1268226930) -> parent(506372615) 
itemtname(1268226930) -> itemtname(506372615) 
l6(1268226930) -> l6(506372615) 
com(1268226930) -> com(506372615) 
script(1268226930) -> script(506372615) 
scriptname(1268226930) -> scriptname(506372615) 
scrDisplayCom(1268226930) -> scrDisplayCom(506372615) 
$r0(1268226930) -> $r0(506372615) 
$r1(1268226930) -> $r1(506372615) 
$r2(1268226930) -> $r2(506372615) 
$r3(1268226930) -> $r3(506372615) 
$r4(1268226930) -> $r4(506372615) 
$r5(1268226930) -> $r5(506372615) 
$r6(1268226930) -> $r6(506372615) 
$r7(1268226930) -> $r7(506372615) 
0(506372615) -> 0(126847244) 
this(506372615) -> this(126847244) 
parent(506372615) -> parent(126847244) 
itemtname(506372615) -> itemtname(126847244) 
